summary_nr,rel_insp_nr,age,sex,nature_of_inj,part_of_body,src_of_injury,event_type,evn_factor,hum_factor,occ_code,degree_of_inj,task_assigned,hazsub,const_op,const_op_cause,fat_cause,fall_distance,fall_ht,injury_line_nr,load_dt
220190557,334658622,0,,6,19,8,5,13,6,588,1,2,,12,70,20,,,1,2017-02-24 01:00:54.721979
220190953,334672995,0,,21,13,42,5,8,1,804,1,1,,,,,,,1,2017-02-24 01:00:54.721979
220191159,334675618,0,,21,4,43,1,18,10,783,1,2,,,,,,,1,2017-02-24 01:00:54.721979
220191951,334622594,0,,15,4,23,14,11,14,806,1,1,,,,,,,1,2017-02-24 01:00:54.721979
220192355,334675840,0,,5,20,43,1,18,14,438,2,1,,,,,,,1,2017-02-24 01:00:54.721979
220192553,334699402,0,,6,13,8,5,18,1,889,2,1,,,,,,,1,2017-02-24 01:00:54.721979
220192751,334703188,0,,21,5,43,12,18,14,453,1,1,,,,,,,1,2017-02-24 01:00:54.721979
220192967,334705423,0,,10,4,15,13,13,13,575,1,1,,25,,14,,,1,2017-02-24 01:00:54.721979
220193163,334705209,0,,5,16,26,2,1,18,779,2,1,,,,,,,1,2017-02-24 01:00:54.721979
220193551,334711983,0,,7,16,43,2,18,20,454,1,2,,,,,,,1,2017-02-24 01:00:54.721979
220193957,333949444,0,,12,2,12,5,8,11,869,3,1,,12,,16,,,1,2017-02-24 01:00:54.721979
220193957,333949444,0,,7,13,12,5,8,11,869,2,1,,12,,16,,,2,2017-02-24 01:00:54.721979
220194153,334718798,0,,21,4,8,2,,11,889,1,1,,,,,,,1,2017-02-24 01:00:54.721979
220194153,334718798,0,,21,16,8,2,,11,889,2,1,,,,,,,2,2017-02-24 01:00:54.721979
220194153,334718798,0,,21,21,8,2,,11,,2,1,,,,,,,3,2017-02-24 01:00:54.721979
220194351,334724010,0,,12,20,5,5,13,14,567,1,1,,43,,15,,,1,2017-02-24 01:00:54.721979
220194559,334724002,0,,6,13,41,6,5,14,889,1,2,,50,50,,,,1,2017-02-24 01:00:54.721979
220194757,334724580,0,,21,19,43,5,18,1,595,1,1,,43,,15,,,1,2017-02-24 01:00:54.721979
220195754,334308319,0,,12,5,26,2,18,17,,1,2,,,,,,,1,2017-02-24 01:00:54.721979
220195952,334688397,0,,21,13,8,5,13,14,,1,2,,15,15,15,,,1,2017-02-24 01:00:54.721979
220196554,334163037,0,,7,21,26,2,2,14,779,2,2,,,,,,,1,2017-02-24 01:00:54.721979
220197958,334765401,0,,2,5,41,14,13,1,479,1,1,,,,,,,1,2017-02-24 01:00:54.721979
220198352,334699782,0,,12,13,27,1,8,1,844,1,2,,,,,,,1,2017-02-24 01:00:54.721979
220198550,334775780,0,,21,5,26,1,8,1,889,1,2,,,,,,,1,2017-02-24 01:00:54.721979
220198758,334786191,0,,6,13,25,5,18,1,575,1,2,,,,,,,1,2017-02-24 01:00:54.721979
220199558,334261310,0,,,,,,,,,,2,,,,,,,1,2017-02-24 01:00:54.721979
220199566,334807575,0,,7,24,42,5,13,14,567,2,2,,18,70,20,,,1,2017-02-24 01:00:54.721979
220199756,334815610,0,,21,13,42,5,8,1,,1,2,,,,,,,1,2017-02-24 01:00:54.721979
220199954,334800380,0,,21,19,43,1,18,14,889,1,1,,32,45,26,,,1,2017-02-24 01:00:54.721979
220200158,334840980,0,,7,13,22,6,18,4,869,1,1,,26,,,,,1,2017-02-24 01:00:54.721979
220200554,334566130,0,,1,10,26,2,1,10,539,3,1,,,,,,,1,2017-02-24 01:00:54.721979
220200752,334849999,0,,6,13,5,6,13,20,869,1,1,,52,52,27,,,1,2017-02-24 01:00:54.721979
220201156,334855780,0,,12,4,29,1,18,14,599,1,1,,34,,7,,,1,2017-02-24 01:00:54.721979
220201354,334855582,0,,3,3,29,5,8,14,889,2,2,,,,,,,1,2017-02-24 01:00:54.721979
220201958,334714789,0,,21,5,30,2,13,14,506,1,1,,,,,,,1,2017-02-24 01:00:54.721979
220202154,334378114,0,,7,21,43,2,2,14,,1,2,,,,,,,1,2017-02-24 01:00:54.721979
220202352,334579976,0,,1,10,26,2,1,17,779,3,1,,,,,,,1,2017-02-24 01:00:54.721979
220202758,334884582,0,,21,4,43,2,1,1,,1,2,,,,,,,1,2017-02-24 01:00:54.721979
220202956,334861994,0,,21,20,,2,8,17,436,1,2,,,,,,,1,2017-02-24 01:00:54.721979
220203160,334904794,0,,12,13,7,1,5,11,889,1,2,,,,,,,1,2017-02-24 01:00:54.721979
220203350,334695186,0,,3,13,8,1,5,1,869,1,1,,5,5,26,,,1,2017-02-24 01:00:54.721979
220203558,334911005,0,,2,20,30,2,18,10,539,1,2,,24,,,,,1,2017-02-24 01:00:54.721979
220203756,334918216,0,,21,4,43,2,13,14,113,1,1,,,,,,,1,2017-02-24 01:00:54.721979
220203954,334617339,0,,6,13,42,5,13,1,783,1,1,,,,,,,1,2017-02-24 01:00:54.721979
220204150,334879582,0,,6,4,4,1,18,1,,1,2,,,,,,,1,2017-02-24 01:00:54.721979
220204150,334879582,0,,12,3,4,1,5,1,19,2,2,,,,,,,2,2017-02-24 01:00:54.721979
220204358,334878980,0,,6,4,4,1,18,1,37,1,1,,,,,,,1,2017-02-24 01:00:54.721979
220204556,334860186,0,,21,4,43,12,18,14,235,1,2,,,,,,,1,2017-02-24 01:00:54.721979
220204754,334931789,0,,21,13,42,5,13,9,567,1,1,,66,66,20,,,1,2017-02-24 01:00:54.721979
220204952,334939592,0,,12,14,34,14,18,5,435,1,1,,,,,,,1,2017-02-24 01:00:54.721979
220205157,334945987,0,,2,5,19,8,7,14,889,1,1,1900,,,,,,1,2017-02-24 01:00:54.721979
220205553,334960184,0,,12,13,27,1,8,1,783,2,1,,,,,,,1,2017-02-24 01:00:54.721979
220205751,334961786,0,,6,13,27,1,6,10,235,1,1,,,,,,,1,2017-02-24 01:00:54.721979
220206759,334916988,0,,15,4,23,14,11,1,889,1,1,,3,3,23,,,1,2017-02-24 01:00:54.721979
220206957,334938982,0,,5,12,15,14,6,11,,2,1,,,,,,,1,2017-02-24 01:00:54.721979
220207153,334984192,0,,21,31,23,14,11,14,889,1,1,,,,,,,1,2017-02-24 01:00:54.721979
