summary_nr,report_id,event_date,event_time,event_desc,event_keyword,const_end_use,build_stories,nonbuild_ht,project_cost,project_type,sic_list,fatality,state_flag,abstract_text,load_dt
220754436,0418300,2015-02-27 09:02:00,,EMPLOYEE IS KILLED RUN OVER BY FIFTH WHEEL OF TRAILER,"CRUSHING,TRAILER",,,,,,,X,,,2017-02-24 01:00:54.645861
220909337,0419700,2016-11-29 06:11:00,,EMPLOYEE IS KILLED WHILE ROLLING LARGE CABLE ONTO A SPOOL,"CAUGHT IN,MACHINE GUARDING,STRUCK BY,CRUSHING",,,,,,,X,,,2017-02-24 01:00:54.645861
220766208,0950612,2015-05-23 03:05:00,,EMPLOYEE TRIPS ON TABLE LEG AND FRACTURES HIP IN FALL,"TRIPPED,FALL,HIP",,,,,,,,,,2017-02-24 01:00:54.645861
220904122,0420600,2016-11-08 02:11:00,,EMPLOYEE IS ELECTROCUTED DURING FALL INTO AN ANIMATRONICS EQ,"ELECTRICAL,FALL,ELECTRONIC EQUIPMENT,ELECTROCUTED,ELECTRICAL WORK",,,,,,,X,,,2017-02-24 01:00:54.645861
220768410,0214700,2015-05-19 03:05:00,,EMPLOYEE CUTS HAND WHILE RETRIEVING FALLEN GLOVE INSIDE MACH,"CAUGHT IN,LACERATION,AUGER",,,,,,,,,,2017-02-24 01:00:54.645861
220189765,0625700,2012-04-21 12:04:00,,EMPLOYEE IS STRUCK BY FALLING WALL AND IS KILLED,"STRUCK BY,FALLING OBJECT,CRUSHED",,,,,,,X,,,2017-02-24 01:00:54.645861
220915862,0625400,2016-11-17 12:11:00,,"EMPLOYEE FALLS TO GROUND AND BREAKS ARM, LATER DIES FROM COM","WALKING SURFACE,FALL",,,,,,,X,,,2017-02-24 01:00:54.645861
220910566,0830100,2016-11-30 11:11:00,,EMPLOYEE IS CRUSHED BY A LOAD OF TRUSSES THAT FELL OFF A TRU,"CRUSHED,FALLING OBJECT,MATERIAL HANDLING",,,,,,,X,,,2017-02-24 01:00:54.645861
220265953,0213900,2012-07-10 03:07:00,,EMPLOYEE KILLED IN FALL FROM SECOND STORY ROOF,"ROOFER,ROOF,FALL",A,2,20,A,C,,X,,,2017-02-24 01:00:54.645861
220906234,0317700,2016-10-26 12:10:00,,EMPLOYEE STRUCK AND KILLED BY FALLEN LOG,"CRUSHED,FALLING OBJECT,LOG",,,,,,,X,,,2017-02-24 01:00:54.645861
220824288,0317000,2015-02-13 05:02:00,,EMPLOYEE WAS KILLED BY A METAL GRATE.,"STRUCK BY,GRATING,INSTALLING",,,,,,,X,,,2017-02-24 01:00:54.645861
220774756,0418800,2015-06-18 02:06:00,,EMPLOYEE COLLAPSES FROM HEAT EXHAUSTION WHILE PICKING ORANGE,"UNCONSCIOUSNESS,HEAT EXHAUSTION",,,,,,,X,,,2017-02-24 01:00:54.645861
220766554,1055350,2015-05-05 06:05:00,,EMPLOYEE IS STRUCK BY A FAILED LIFT,"STRUCK BY,JACK,BACK",,,,,,,,,,2017-02-24 01:00:54.645861
220169353,0627510,2012-05-16 12:05:00,,EMPLOYEE SUFFERS HEART ATTACK AND DIES,"TANK,CARDIAC ARREST,CARDIOVASC SYSTEM,HEART,HEART ATTACK,TANK TRUCK",,,,,,,X,,,2017-02-24 01:00:54.645861
220861777,1054116,2015-01-01 02:01:00,,EMPLOYEE DIES FROM HYPOTHERMIA.,"ATV,FROZEN",,,,,,,X,,,2017-02-24 01:00:54.645861
220737662,0636900,2015-02-14 09:02:00,,EMPLOYEE FOUND DEAD WHILE GAUGING CRUDE OIL TANK,OIL TANK,,,,,,,X,,,2017-02-24 01:00:54.645861
220768337,1055350,2015-05-08 10:05:00,,EMPLOYEE CUTS HAND AND SCRAPES SKIN WHEN CAUGHT BETWEEN MACH,"CAUGHT IN,ABRASION,LACERATION",,,,,,,,,,2017-02-24 01:00:54.645861
220249353,0213900,2012-05-10 01:05:00,,EMPLOYEE FRACTURES RIBS DURING FALL FROM TREE,"TREE TRIMMING,TREE LIMB,FALL,LACERATION,LEG,FRACTURE,RIB",,,,,,,,,,2017-02-24 01:00:54.645861
220898761,0418200,2016-10-24 11:10:00,,EMPLOYEE KILLED IN TRENCH CAVE-IN,"ACCESS/EGRESS,CAVE-IN,LADDER,EXCAVATION,BURIED,TRENCH,SUFFOCATED",C,1,,D,A,,X,,,2017-02-24 01:00:54.645861
220918619,0134000,2016-12-30 12:12:00,,EMPLOYEE DIES FROM SUSPECTED HEART ATTACK,"FALL,HEART ATTACK",,,,,,,X,,,2017-02-24 01:00:54.645861
220775001,0627700,2015-06-18 07:06:00,,EMPLOYEE IS STRUCK BY FORKLIFT AND TREATED FOR INTERNAL BLEE,"STRUCK BY,INDUSTRIAL TRUCK",,,,,,,X,,,2017-02-24 01:00:54.645861
220765804,0214700,2015-05-05 10:05:00,,EMPLOYEE IS CONSUMED BY GASOLINE FIRE EXPLOSION,"VAPOR,BURN,FLAMMABLE LIQUID,GAS,FIRE,EXPLOSION,GASOLINE",,,,,,,,,,2017-02-24 01:00:54.645861
220230353,0636900,2012-07-13 04:07:00,,EMPLOYEE SHOVELING ASPHALT COLLAPSED AND KILLED BY HEAT EXHA,"SHOVEL,ASPHALT,HEAT EXHAUSTION",,,,,,,X,,,2017-02-24 01:00:54.645861
220739643,0316700,2015-02-17 05:02:00,,EMPLOYEE STRIKES HEAD ON THE GROUND FROM ICY ROAD SURFACE,"FALL,HEAD",,,,,,,X,,,2017-02-24 01:00:54.645861
220309355,0636900,2012-08-01 03:08:00,,EMPLOYEE DIES IN FALL FROM LADDER,"FALL,LADDER,HEAD",,,,,,,X,,,2017-02-24 01:00:54.645861
220896047,0418800,2016-10-14 08:10:00,,EMPLOYEE IS KILLED FROM FALL ON A FRONT END LOADER LADDER,"FALL,FRONT END LOADER,LADDER",,,,,,,X,,,2017-02-24 01:00:54.645861
220257554,0627510,2012-08-15 12:08:00,,OIL WELL WORKER DIES AFTER SUSTAINING A HEART ATTACK.,"CARDIOVASC SYSTEM,HEART ATTACK,OIL RIG",,,,,,,X,,,2017-02-24 01:00:54.645861
220159750,0418200,2012-04-20 10:04:00,,EMPLOYEE BREAKS CHEMICAL VIAL AND NOTIFIES FIRE DEPARTMENT,CHEMICAL,,,,,,,,,,2017-02-24 01:00:54.645861
220903942,0950647,2016-11-08 07:11:00,,EMPLOYEE SUFFERS HEART ATTACK AT VINEYARD PRIOR TO HARVESTIN,HEART ATTACK,,,,,,,X,,,2017-02-24 01:00:54.645861
220768089,0316400,2015-05-05 12:05:00,,EMPLOYEE FRACTURES HIP DURING FALL FROM MACHINE STEP,"FALL,FRACTURE,HIP",,,,,,,,,,2017-02-24 01:00:54.645861
220698310,0950623,2015-01-06 08:01:00,,EMPLOYEE IS ELECTROCUTED DURING AERIAL LIFT INSPECTION,"AERIAL LIFT,ELECTROCUTED,POWER LINES,OVERHEAD POWER LINE",,,,,,,X,,,2017-02-24 01:00:54.645861
220747307,0355118,2015-02-24 08:02:00,,EMPLOYEE DIED FROM NATURAL CAUSES.,,,,,,,,X,,,2017-02-24 01:00:54.645861
220893333,0253650,2016-10-01 12:10:00,,EMPLOYEE IS FOUND UNRESPONSIVE IN LOCKED BREAK ROOM,"HEART ATTACK,HEART",,,,,,,X,,,2017-02-24 01:00:54.645861
220911119,0627700,2016-11-12 06:11:00,,EMPLOYEE DIES FROM HEART ATTACK,HEART ATTACK,,,,,,,X,,,2017-02-24 01:00:54.645861
220799860,0214200,2015-10-03 01:10:00,,EMPLOYEE IS STRUCK AND KILLED BY FORKLIFT,"STRUCK BY,RUN OVER,MATERIAL HANDLING",,,,,,,X,,,2017-02-24 01:00:54.645861
220259352,0625500,2012-08-22 09:08:00,,EMPLOYEE IS KILLED IN FALL FROM ROOF WHILE DOING ROOFING WOR,"ROOFER,CONSTRUCTION,FALL,ROOF,WORK SURFACE",,,,,,,X,,,2017-02-24 01:00:54.645861
220921308,1054116,2016-12-29 12:12:00,,EMPLOYEE IS STRUCK AND KILLED BY A LOG,"STRUCK BY,CHOKER SETTER,LOGGER",,,,,,,X,,,2017-02-24 01:00:54.645861
220915920,0626700,2016-12-21 09:12:00,,EMPLOYEE FALLS FROM ROOF AND IS KILLED,"FALL,FALL PROTECTION,ROOF",A,3,30,E,A,,X,,,2017-02-24 01:00:54.645861
220908412,0214500,2016-11-23 10:11:00,,EMPLOYEE FALLS OFF A ROOF AND IS KILLED,"FALL,ROOF",B,4,40,E,A,,X,,,2017-02-24 01:00:54.645861
220713226,0636900,2015-01-13 09:01:00,,EMPLOYEE IS STRUCK AND KILLED BY A FALLING TREE,"STRUCK BY,TREE,TREE FELLING,POWERED INDUSTRIAL VEHICLE,LOGGING,FALLING OBJECT",,,,,,,X,,,2017-02-24 01:00:54.645861
220295356,0214200,2012-04-05 12:04:00,,EMPLOYEE DIES FROM HEART ATTACK WHILE INSTALLING CEILING TIL,"CARDIOVASC SYSTEM,HEART ATTACK,INSTALLING,HEART",C,2,,,A,,X,,,2017-02-24 01:00:54.645861
220775175,0950625,2015-06-18 07:06:00,,EMPLOYEE LOSES CONTROL OF A TRACTOR AND IS EJECTED,"TRACTOR,LOST CONTROL,EJECTED,DITCH",,,,,,,X,,,2017-02-24 01:00:54.645861
220903884,0636900,2016-11-08 12:11:00,,EMPLOYEE IS CRUSHED AND KILLED WHEN FORKLIFT TIPS OVER.,"CRUSHED,ROLL-OVER,POWERED INDUSTRIAL VEHICLE",,,,,,,X,,,2017-02-24 01:00:54.645861
220750889,0551701,2015-02-24 03:02:00,,EMPLOYEE SUFFERS FROM HEART ATTACK AT WORK,HEART ATTACK,,,,,,,X,,,2017-02-24 01:00:54.645861
220766786,1055330,2015-05-07 03:05:00,,EMPLOYEE INJURES EYE AND ARM WHEN TRUCK TIRE EXPLODES,"TIRE,BLOWOUT--TIRE,EYE,ARM",,,,,,,,,,2017-02-24 01:00:54.645861
220765523,0214200,2015-05-06 04:05:00,,GARBAGE TRUCK STRIKES EMPLOYEE WHILE BACKING UP,"STRUCK BY,ABDOMEN,GARBAGE TRUCK,LACERATION",,,,,,,X,,,2017-02-24 01:00:54.645861
220701353,0626600,2015-01-22 02:01:00,,EMPLOYEE DIES OF HEART ATTACK WHILE CHECKING THE CONDITION O,"CARDIOVASC SYSTEM,HEART ATTACK,OIL WELL SERVICING",,,,,,,X,,,2017-02-24 01:00:54.645861
220748644,0625400,2015-03-11 08:03:00,,EMPLOYEE IS STRUCK AND KILLED BY A COMPANY VEHICLE.,"STRUCK BY,MOTOR VEHICLE,WALKING SURFACE",,,,,,,X,,,2017-02-24 01:00:54.645861
220898076,0551800,2016-10-17 12:10:00,,EMPLOYEE IS STRUCK AND KILLED,STRUCK BY,,,,,,,X,,,2017-02-24 01:00:54.645861
220917223,0134000,2016-11-23 08:11:00,,EMPLOYEE SUFFERS HEART ATTACK WHILE AT WORK,"STAIR,HEART ATTACK",,,,,,,X,,,2017-02-24 01:00:54.645861
220768121,0214700,2015-05-15 05:05:00,,EMPLOYEE RUN OVER AND KILLED BY A  ROLLING VEHICLE,"CRUSHED,GARBAGE TRUCK,RUN OVER",,,,,,,X,,,2017-02-24 01:00:54.645861
220899157,0214500,2016-10-26 03:10:00,,EMPLOYEE STRUCK AND KILLED BY TREE LIMB,"TREE TRIMMING,TREE LIMB,RIGGING,STRUCK BY",,,,,,,X,,,2017-02-24 01:00:54.645861
220750459,0950641,2015-01-31 05:01:00,,TRUCK DRIVER IS HIT BY TRAILER AND KILLED,"TRAILER,VEHICLE",,,,,,,X,,,2017-02-24 01:00:54.645861
220742092,0253650,2015-02-16 07:02:00,,EMPLOYEE DIES FROM HEART ATTACK WHEN LEAVING THEIR WORK PLAC,HEART ATTACK,,,,,,,X,,,2017-02-24 01:00:54.645861
220756001,0355111,2015-02-28 01:02:00,,EMPLOYEE IS KILLED FROM FALL FROM ELEVATED SCISSOR LIFT,"AERIAL LIFT,FALL",H,2,,,A,,X,,,2017-02-24 01:00:54.645861
220894505,0552700,2016-10-07 12:10:00,,EMPLOYEE IS KILLED IN FALL FROM ROOF.,"FALL,ROOF",,,,,,,X,,,2017-02-24 01:00:54.645861
220898985,0452110,2016-10-13 12:10:00,,EMPLOYEE IS STRUCK AND KILLED BY A GARBAGE TRUCK,"STRUCK BY,GARBAGE TRUCK",,,,,,,X,,,2017-02-24 01:00:54.645861
220745459,0215000,2015-03-03 01:03:00,,EMPLOYEE IS KILLED IN A FALL FROM WINDOW,"WINDOW WASHER,FALL",,,,,,,X,,,2017-02-24 01:00:54.645861
220908214,0454510,2016-11-18 12:11:00,,EMPLOYEE IS KILLED IN FALL FROM ELEVATION,FALL,,,,,,,X,,,2017-02-24 01:00:54.645861
220766547,1055350,2015-05-06 04:05:00,,EMPLOYEE SUFFERS CONCUSSION FROM FALL OFF OF AN ELEVATED PLA,"CONCUSSION,ELEVATED WORK PLATFORM,FALL,HEAD",,,,,,,,,,2017-02-24 01:00:54.645861
220915615,0636900,2016-12-17 01:12:00,,AN EMPLOYEE IS CRUSHED AND KILLED WHEN TRACTOR ROLLS OVER,"TRACTOR,CRUSHED,ROLL-OVER",,,,,,,X,,,2017-02-24 01:00:54.645861
220283550,0626000,2012-07-13 10:07:00,,EMPLOYEE STRUCK  BY A ASPHALT HOPPER,"STRUCK BY,HEAD,CONSTRUCTION VEHICLE",,,,,,,X,,,2017-02-24 01:00:54.645861
220699748,1032500,2015-01-12 04:01:00,,EMPLOYEE IS CRUSHED AND KILLED WHILE REPAIRING VEHICLE'S TRA,"UNSTABLE LOAD,CRUSHED,FALLING OBJECT,HEAD",,,,,,,X,,,2017-02-24 01:00:54.645861
220701783,0420600,2015-01-23 05:01:00,,"HVAC REPAIR PERSON IS FOUND SEMICONSCIOUS, ELECTRICAL SHOCK ","REPAIR,SHOCK,UNCONSCIOUSNESS,HEART,ELECTRICAL,CARDIAC ARREST,BUILDING",,,,,,,,,,2017-02-24 01:00:54.645861
220738934,0418800,2015-02-17 03:02:00,,EMPLOYEE IS KILLED WHEN STRUCK BY A FARM TRUCK,"STRUCK BY,AGRICULTURE MACHINERY/VEHICLE",,,,,,,X,,,2017-02-24 01:00:54.645861
220895163,0854910,2016-10-12 11:10:00,,EMPLOYEE IS KILLED WHEN MINI EXCAVATOR OVERTURNS,"EJECTED,EXCAVATION,ROLL-OVER",P,,50,,E,,X,,,2017-02-24 01:00:54.645861
220063796,0213600,2012-02-06 10:02:00,,EMPLOYEE SUFFERS MULTIPLE FRACTURES FROM CONVEYOR BELT,"CONVEYOR BELT,DRAGGED,FRACTURE,FALL",,,,,,,,,,2017-02-24 01:00:54.645861
220698054,0626700,2015-01-05 11:01:00,,EMPLOYEE FALLS FROM ROOF OF APARTMENT COMPLEX,"FALL,FALL PROTECTION,ROOF",,,,,,,X,,,2017-02-24 01:00:54.645861
220103329,0729700,2012-02-16 11:02:00,,EMPLOYEE IS KILLED IN A SLIP AND FALL ACCIDENT.,"STRUCK BY,HEAD,SLIP,FALL",,,,,,,X,,,2017-02-24 01:00:54.645861
220893879,0418100,2016-10-03 01:10:00,,EMPLOYEE IS KILLED IN TRACTOR ROLLOVER ACCIDENT ON GOLF COUR,"OVERTURN,CRUSHED,ROLL-OVER,HEAD,STRUCK BY",,,,,,,X,,,2017-02-24 01:00:54.645861
220915607,0636900,2016-12-20 10:12:00,,EMPLOYEE IS STRUCK AND KILLED BY TRACTOR,"STRUCK BY,TRACTOR",,,,,,,X,,,2017-02-24 01:00:54.645861
220907877,0452110,2016-11-21 12:11:00,,EMPLOYEE IS STRUCK AND KILLED BY FORKLIFT,"STRUCK BY,DUMPSTER,INDUSTRIAL TRUCK",,,,,,,X,,,2017-02-24 01:00:54.645861
220271951,0215300,2012-08-27 11:08:00,,EMPLOYEE IS KILLED WHEN STRUCK BY TRUCK DURING CONTAINER DEL,"STRUCK BY,TRAILER TRUCK,TRUCK DRIVER,MOTOR VEHICLE",,,,,,,X,,,2017-02-24 01:00:54.645861
220747661,0419400,2015-03-10 07:03:00,,EMPLOYEE IS KILLED IN FALL FROM SAME LEVEL.,"WALL,LOST BALANCE,HORSEPLAY,HEAD,FALL,CONCRETE",,,,,,,X,,,2017-02-24 01:00:54.645861
220700561,0626300,2015-01-14 09:01:00,,DEMOLITION WORKER IS KILLED IN FALL THROUGH SKYLIGHT,"SKYLIGHT,ROOF,HEAD,FALL PROTECTION,FALL,DEMOLITION,BRAIN",C,,22,,B,,X,,,2017-02-24 01:00:54.645861
220243158,1032100,2012-07-02 12:07:00,,EMPLOYEE DROWNS IN VEHICLE THAT WENT OFF PIER AND INTO INLET,"VEHICLE,WATER,DROWN,LOST CONTROL",,,,,,,X,,,2017-02-24 01:00:54.645861
220193163,0523400,2012-06-15 12:06:00,,"EMPLOYEE SUFFERS CRUSHING AND BURN INJURIES, WHEN CAUGHT BET","STRUCK BY,CAUGHT BETWEEN,DIE CASTING MACHINE,MACHINE GUARDING,HEAT",,,,,,,,,,2017-02-24 01:00:54.645861
220767644,0625500,2015-05-14 04:05:00,,EMPLOYEE IS KILLED IN 90 FOOT FALL FROM AERIAL LIFT BASKET,"AERIAL LIFT,PERSONNEL CAGE,FALL",,,,,,,X,,,2017-02-24 01:00:54.645861
220063937,0521700,2012-02-09 02:02:00,,EMPLOYEE KILLED WHEN BUS ROLLS OVER HIM DURING BRAKE JOB,"PINNED,RUN OVER,BUS",,,,,,,X,,,2017-02-24 01:00:54.645861
220215156,0111500,2012-01-26 07:01:00,,EMPLOYEE AMPUTATES ARM IN ROLL STAND,"CAUGHT IN,AMPUTATION,NIP POINT,MACHINE GUARDING,ARM,LOCKOUT/TAGOUT,HAND TOOL",,,,,,,,,,2017-02-24 01:00:54.645861
220767230,0950631,2015-05-09 09:05:00,,EMPLOYEE LEAVES WORK ILL,NAUSEA,,,,,,,,,,2017-02-24 01:00:54.645861
220910004,0355114,2016-10-03 12:10:00,,EMPLOYEE IS FOUND UNRESPONSIVE IN RESTROOM,"CARDIAC ARREST,HEART ATTACK",,,,,,,X,,,2017-02-24 01:00:54.645861
220767453,0627510,2015-05-14 10:05:00,,EMPLOYEE WAS CRUSHED BETWEEN VENDOR TRUCK AND LOADING DOCK,"STRUCK BY,TRUCK,CRUSHED",,,,,,,X,,,2017-02-24 01:00:54.645861
220147953,0830500,2012-04-11 12:04:00,,EMPLOYEE IS KILLED BY LARGE BAGGER MECHANISM ATTACHED TO THE,"CAUGHT IN,AMPUTATED,LOCKOUT/TAGOUT,MACHINE GUARDING,CRUSHED",,,,,,,X,,,2017-02-24 01:00:54.645861
220379960,0214200,2012-07-16 08:07:00,,EMPLOYEES IS KILLED IN AN AERIAL LIFT FALL,"AERIAL LIFT,CONSTRUCTION VEHICLE,FALL,HEAD",D,1,40,,A,,X,,,2017-02-24 01:00:54.645861
220271555,0625700,2012-08-24 09:08:00,,EMPLOYEE IS BURNED IN CHEMICAL FIRE,"SULFURIC ACID,CHEMICAL REACTION,FIRE,METHYL ALCOHOL,EXPLOSION,CHEMICAL BURN",,,,,,,X,,,2017-02-24 01:00:54.645861
220158950,0625700,2012-04-30 05:04:00,,EMPLOYEE FOUND UNCONSICOUS AT THE BOTTOM OF STAIRS.,"STRUCK AGAINST,HEAD",,,,,,,X,,,2017-02-24 01:00:54.645861
220775456,0551702,2015-06-17 01:06:00,,EMPLOYEE IS SUFFOCATED WHEN PINNED UNDER OVERTURNED LAWN MOW,"PINNED,HEAD,ROLL-OVER,NECK,LEG,LAWN MOWER,ASPHYXIATED,SUFFOCATED,FALL",,,,,,,X,,,2017-02-24 01:00:54.645861
220233159,0418800,2012-07-17 11:07:00,,EMPLOYEE FALLS FROM TREE WHILE TRIMMING ITS BRANCHES AND SUS,"TREE TRIMMING,HEAD,LOST BALANCE,FALL",,,,,,,X,,,2017-02-24 01:00:54.645861
220699789,0215000,2015-01-14 02:01:00,,EMPLOYEE FRACTURES SPINE IN FALL FROM GRAVITY WATER TANK.,"REPAIR,SPINE,WATER TANK,FRACTURE,FALL PROTECTION,FALL",B,14,,A,C,,,,,2017-02-24 01:00:54.645861
220842512,0950624,2016-04-05 02:04:00,,"WORKER, FEELING UNWELL, DIES OF PROBABLE HEART ATTACK.","VOMIT,AGRICULTURE,NAUSEA,HEART ATTACK,CARDIOVASC SYSTEM",,,,,,,X,,,2017-02-24 01:00:54.645861
220262752,0214200,2012-08-27 12:08:00,,EMPLOYEE IS OPERATING FORKLIFT WHEN IT TIPPED OVER AND LANDE,"OVERTURN,UNSTABLE POSITION,INDUSTRIAL TRUCK,POWERED INDUSTRIAL VEHICLE,CHEST,STRUCK BY",C,1,20,B,B,,X,,,2017-02-24 01:00:54.645861
220203350,0214500,2012-06-14 03:06:00,,EMPLOYEE IS STRUCK BY FLYING PIECE OF LUMBER AT DEMOLITION S,"STRUCK BY,DEMOLITION,FLYING OBJECT,LUMBER,HEAD",A,,,B,D,,X,,,2017-02-24 01:00:54.645861
220768154,0418300,2015-05-01 11:05:00,,EMPLOYEE CUTS THREE FINGERS; AMPUTATES ONE FINGER WHEN ADJUS,"CAUGHT IN,BALER,CHAIN,AMPUTATION,LACERATION",,,,,,,,,,2017-02-24 01:00:54.645861
220240956,0830300,2012-08-06 07:08:00,,EMPLOYEE IS KILLED IN A FALL FROM A RIG ON OIL/GAS WELL SITE,"STRUCK BY,OIL WELL DRILLING/SERVICING,FALL",,,,,,,X,,,2017-02-24 01:00:54.645861
220718639,0636900,2015-02-02 09:02:00,,AN EMPLOYEE'S LEFT HAND MIDDLE FINGER WAS AMPUTATED AT THE F,"ROTATING PARTS,FINGER,AMPUTATION,GEAR,BELT",,,,,,,,,,2017-02-24 01:00:54.645861
220739031,0751910,2015-01-04 03:01:00,,A EMPLOYEE DIES AFTER SLIPPING AND FALLING IN PARKING LOT.,FALL,,,,,,,X,,,2017-02-24 01:00:54.645861
220765747,0418800,2015-05-02 03:05:00,,EMPLOYEE FRACTURES LEG WHEN ATTEMPTING TO CRUSH BOXES IN REC,"CAUGHT IN,LEG,FRACTURE,GARBAGE TRUCK,CRUSHING",,,,,,,,,,2017-02-24 01:00:54.645861
220751598,0418400,2015-03-19 11:03:00,,EMPLOYEE STRUCK BY FALLING PROPANE TANK.,"PLATFORM,TRAILER,TRUCK,LP GAS,MATERIAL HANDLING,HEAD,FALLING OBJECT,TRAILER TRUCK,STRUCK BY,PROPANE,CRUSHING",,,,,,,X,,,2017-02-24 01:00:54.645861
220252555,0418600,2012-04-11 12:04:00,,EMPLOYEE DIES FROM ANEURISM,"ANEURISM,CLEANING",,,,,,,X,,,2017-02-24 01:00:54.645861
220205157,0316400,2012-06-25 12:06:00,,EMPLOYEE DIES OF ASPHYXIATION AFTER SUPPLIED AIR HOOD IS HOO,"RESPIRATOR,SANDBLASTING,AIR HOSE,NITROGEN",,,,,,,X,,,2017-02-24 01:00:54.645861
220843031,0112600,2016-04-07 12:04:00,,EMPLOYEE IS EJECTED FROM BUCKET DURING FELLING TREES AND IS ,"PPE,FALL PROTECTION,EJECTED,FALLING OBJECT,STRUCK BY,TREE,TREE FELLING,FALL,AERIAL LIFT,CRUSHING",,,,,,,X,,,2017-02-24 01:00:54.645861
220103527,0522000,2012-03-02 02:03:00,,EMPLOYEE IS INJURED WHEN CRANE RUNS OVER.,"CRANE,RUN OVER",,,,,,,,,,2017-02-24 01:00:54.645861
220268767,0626600,2012-06-28 09:06:00,,EMPLOYEE IS KILLED IN THE CRANE OPERATOR'S CAB WHEN CRANE OV,"OVERLOADED,OVERTURN,UNSTABLE LOAD,HOISTING MECHANISM,NECK,HEAD,CRUSHED,CRANE",C,,,D,A,,X,,,2017-02-24 01:00:54.645861
220701296,0418800,2015-01-19 07:01:00,,EMPLOYEE IS KILLED IN A FALL FROM AN ELEVATED SCISSOR LIFT P,"PALLET,PLATFORM,STRUCK AGAINST,POWERED INDUSTRIAL VEHICLE,JACK,FALL,ELEVATED WORK PLATFORM",,,,,,,X,,,2017-02-24 01:00:54.645861
220700082,0523400,2015-01-13 10:01:00,,EMPLOYEE IS KILLED DURING ROBBERY AT GAS STATION,"WORKPLACE VIOLENCE,GUNSHOT,CHEST",,,,,,,X,,,2017-02-24 01:00:54.645861
220104129,0523400,2012-03-12 06:03:00,,EMPLOYEE IS FOUND DEAD ON BATHROOM FLOOR.,,,,,,,,X,,,2017-02-24 01:00:54.645861
220169759,0625700,2012-05-10 10:05:00,,EMPLOYEE DIES IN A FALL FROM RIG,"ELEVATED WORK PLATFORM,OIL RIG,LOST BALANCE,FALL PROTECTION,ELEVATED WORK PLAT,FALL",,,,,,,X,,,2017-02-24 01:00:54.645861
220753420,0317000,2015-03-30 02:03:00,,AN EMPLOYEE WAS FATALLY INJURED WHEN HE WAS STRUCK-BY A FALL,"PELVIS,STRUCK BY,CRUSHING,RIB,FALLING OBJECT,PILE DRIVER,LEG,FRACTURE",E,,,,A,,X,,,2017-02-24 01:00:54.645861
